metric,value
gross_revenue_usd,1102091.72
degradation_cost_usd,253758.72
net_revenue_usd,848333.0
fixed_om_cost_usd,359589.04
variable_om_cost_usd,19017.97
net_operating_profit_usd,469725.99
net_arbitrage_margin_pct,76.97
total_energy_charged_mwh,10794.19
total_energy_discharged_mwh,27241.75
energy_throughput_mwh,38035.94
equivalent_full_cycles,190.17
avg_daily_cycles,0.543
capacity_factor_pct,6.49
utilization_factor_pct,54.34
round_trip_efficiency_pct,252.37
avg_charge_price_usd_per_mwh,22.53
avg_discharge_price_usd_per_mwh,47.66
realized_spread_usd_per_mwh,25.13
theoretical_max_spread_usd_per_mwh,63.1
spread_capture_ratio_pct,39.82
gross_revenue_per_mwh_throughput,28.98
net_revenue_per_mwh_throughput,22.3
gross_revenue_per_efc,5795.16
net_revenue_per_efc,4460.82
degradation_cost_per_efc,1334.35
revenue_per_kw_year,22.99
revenue_per_kwh_year,11.49
charging_hours,264.0
discharging_hours,612.0
idle_hours,7524.0
idle_fraction_pct,89.57
simulated_days,350.0
