date,gross_revenue_usd,energy_charged_mwh,energy_discharged_mwh,throughput_mwh,efc,avg_charge_price,avg_discharge_price,realized_spread,theoretical_max_spread,spread_capture_pct
2025-01-15,5306.55,97.51,138.0,235.51,1.178,32.75,71.42,38.68,105.93,36.51
2025-01-16,3092.91,42.11,88.0,130.11,0.651,23.49,39.92,16.43,25.73,63.84
2025-01-17,3431.68,42.11,88.0,130.11,0.651,24.59,75.13,50.54,101.98,49.56
2025-01-18,3128.0,42.11,88.0,130.11,0.651,22.8,32.51,9.71,63.47,15.3
2025-01-19,3229.19,42.11,88.0,130.11,0.651,19.03,34.98,15.95,97.62,16.34
2025-01-20,3693.91,42.11,88.0,130.11,0.651,22.52,42.85,20.33,26.77,75.93
2025-01-21,3833.55,42.11,88.0,130.11,0.651,20.28,39.69,19.41,128.24,15.13
2025-01-22,4151.52,42.11,88.0,130.11,0.651,22.76,77.49,54.73,130.45,41.95
2025-01-23,2122.88,0.0,50.0,50.0,0.25,0.0,39.13,39.13,23.08,0.0
2025-01-24,3221.96,42.11,88.0,130.11,0.651,23.08,39.22,16.14,52.1,30.97
2025-01-25,2945.32,42.11,88.0,130.11,0.651,19.23,36.85,17.62,21.06,83.65
2025-01-26,2988.62,42.11,88.0,130.11,0.651,21.15,38.51,17.36,27.81,62.44
2025-01-27,2434.21,0.0,50.0,50.0,0.25,0.0,39.02,39.02,69.01,0.0
2025-01-28,4283.85,84.21,126.0,210.21,1.051,22.17,59.04,36.87,85.4,43.18
2025-01-29,3521.84,42.11,88.0,130.11,0.651,28.38,40.9,12.52,59.5,21.05
2025-01-30,3984.34,42.11,88.0,130.11,0.651,31.28,69.13,37.85,91.2,41.5
2025-01-31,3107.45,42.11,88.0,130.11,0.651,20.12,38.11,17.99,24.43,73.65
2025-02-01,2993.83,50.0,95.12,145.12,0.726,15.2,35.0,19.8,36.99,53.53
2025-02-02,3293.5,42.11,88.0,130.11,0.651,20.45,36.51,16.06,24.39,65.85
2025-02-03,3144.54,42.11,88.0,130.11,0.651,23.82,36.92,13.1,34.14,38.37
2025-02-04,3755.23,50.0,95.12,145.12,0.726,20.28,56.0,35.72,62.78,56.9
2025-02-05,3452.07,42.11,88.0,130.11,0.651,20.32,41.02,20.7,24.13,85.79
2025-02-06,3402.86,42.11,88.0,130.11,0.651,32.85,40.03,7.18,27.72,25.92
2025-02-07,4667.29,84.21,126.0,210.21,1.051,25.02,60.47,35.45,86.01,41.22
2025-02-08,5231.6,84.21,126.0,210.21,1.051,19.0,63.65,44.65,119.5,37.37
2025-02-09,2603.76,42.11,88.0,130.11,0.651,17.08,36.31,19.23,24.92,77.16
2025-02-10,2871.68,42.11,88.0,130.11,0.651,20.81,39.86,19.05,25.2,75.6
2025-02-11,3240.4,42.11,88.0,130.11,0.651,20.22,39.23,19.01,26.51,71.72
2025-02-12,3051.36,42.11,88.0,130.11,0.651,19.14,36.2,17.06,23.16,73.64
2025-02-13,3216.63,42.11,88.0,130.11,0.651,19.89,38.21,18.32,107.06,17.11
2025-02-14,1883.15,0.0,50.0,50.0,0.25,0.0,39.82,39.82,67.71,0.0
2025-02-15,2980.47,42.11,88.0,130.11,0.651,16.4,31.27,14.87,24.52,60.63
2025-02-16,3337.38,42.11,88.0,130.11,0.651,17.35,61.84,44.49,84.18,52.85
2025-02-17,3910.4,42.11,88.0,130.11,0.651,17.69,34.63,16.94,132.66,12.77
2025-02-18,5587.94,55.4,100.0,155.4,0.777,24.88,90.09,65.22,137.77,47.34
2025-02-19,3006.77,42.11,88.0,130.11,0.651,17.81,38.26,20.45,47.94,42.66
2025-02-20,3174.81,50.0,95.12,145.12,0.726,18.91,74.47,55.56,110.77,50.15
2025-02-21,2178.59,0.0,50.0,50.0,0.25,0.0,35.31,35.31,29.75,0.0
2025-02-22,2904.67,42.11,88.0,130.11,0.651,15.68,36.49,20.81,84.16,24.72
2025-02-23,3256.03,42.11,88.0,130.11,0.651,15.61,35.0,19.39,26.32,73.67
2025-02-24,2003.14,0.0,50.0,50.0,0.25,0.0,36.59,36.59,20.8,0.0
2025-02-25,3034.99,42.11,88.0,130.11,0.651,19.91,40.13,20.22,23.43,86.3
2025-02-26,3185.74,50.0,95.12,145.12,0.726,18.29,35.86,17.57,43.72,40.18
2025-02-27,2749.25,42.11,88.0,130.11,0.651,19.64,38.73,19.09,25.23,75.67
2025-02-28,2928.79,42.11,88.0,130.11,0.651,17.15,38.15,21.0,54.7,38.39
2025-03-01,3298.55,42.11,88.0,130.11,0.651,30.86,34.34,3.48,28.26,12.32
2025-03-02,2762.18,42.11,88.0,130.11,0.651,16.07,33.62,17.55,21.87,80.23
2025-03-03,4433.92,42.11,88.0,130.11,0.651,18.44,33.79,15.35,94.59,16.23
2025-03-04,4917.57,50.0,95.12,145.12,0.726,24.77,81.26,56.49,112.86,50.05
2025-03-05,2810.65,42.11,88.0,130.11,0.651,-1.92,33.55,35.47,144.64,24.52
2025-03-06,2667.39,42.11,88.0,130.11,0.651,18.34,36.62,18.28,54.79,33.37
2025-03-07,2964.41,42.11,88.0,130.11,0.651,21.08,34.64,13.56,88.21,15.37
2025-03-08,3121.74,42.11,88.0,130.11,0.651,16.51,34.88,18.37,28.1,65.38
2025-03-09,3057.93,42.11,88.0,130.11,0.651,23.7,54.01,30.31,71.33,42.49
2025-03-10,2120.2,0.0,50.0,50.0,0.25,0.0,35.68,35.68,120.98,0.0
2025-03-11,2903.73,42.11,88.0,130.11,0.651,15.34,38.34,23.0,27.43,83.87
2025-03-12,2516.68,0.0,50.0,50.0,0.25,0.0,39.12,39.12,103.45,0.0
2025-03-13,3444.5,42.11,88.0,130.11,0.651,23.36,104.85,81.49,140.51,58.0
2025-03-14,2646.9,42.11,88.0,130.11,0.651,16.58,39.45,22.87,37.82,60.47
2025-03-15,3273.51,42.11,88.0,130.11,0.651,17.39,75.68,58.29,123.04,47.38
2025-03-16,1895.96,0.0,50.0,50.0,0.25,0.0,32.29,32.29,63.49,0.0
2025-03-17,2841.55,42.11,88.0,130.11,0.651,20.76,35.35,14.59,100.72,14.48
2025-03-18,1954.44,0.0,50.0,50.0,0.25,0.0,34.03,34.03,38.43,0.0
2025-03-19,2808.71,42.11,88.0,130.11,0.651,18.82,38.2,19.38,23.81,81.42
2025-03-20,3519.32,42.11,88.0,130.11,0.651,17.41,36.22,18.81,68.85,27.32
2025-03-21,2950.22,42.11,88.0,130.11,0.651,20.33,53.02,32.69,60.3,54.21
2025-03-22,2903.47,42.11,88.0,130.11,0.651,14.68,48.71,34.03,61.58,55.26
2025-03-23,3012.72,42.11,88.0,130.11,0.651,12.78,24.72,11.94,24.48,48.78
2025-03-24,2946.36,42.11,88.0,130.11,0.651,21.84,37.73,15.89,21.58,73.62
2025-03-25,4243.21,84.21,126.0,210.21,1.051,17.4,71.53,54.13,136.63,39.62
2025-03-26,2657.27,42.11,88.0,130.11,0.651,19.81,35.4,15.59,34.11,45.7
2025-03-27,2528.46,42.11,88.0,130.11,0.651,19.32,37.26,17.94,22.94,78.2
2025-03-28,3166.58,42.11,88.0,130.11,0.651,24.25,36.53,12.28,53.35,23.02
2025-03-29,3435.02,42.11,88.0,130.11,0.651,12.46,66.78,54.32,100.53,54.03
2025-03-30,2833.04,42.11,88.0,130.11,0.651,16.29,32.4,16.11,26.75,60.21
2025-03-31,4472.3,42.11,88.0,130.11,0.651,16.34,38.94,22.6,122.5,18.45
2025-04-01,2684.73,42.11,88.0,130.11,0.651,19.4,38.76,19.36,43.2,44.81
2025-04-02,2919.07,42.11,88.0,130.11,0.651,20.51,38.05,17.54,38.15,45.98
2025-04-03,2886.36,42.11,88.0,130.11,0.651,20.02,26.0,5.98,23.31,25.66
2025-04-04,1995.85,0.0,50.0,50.0,0.25,0.0,37.0,37.0,47.07,0.0
2025-04-05,2578.02,42.11,88.0,130.11,0.651,-12.74,34.17,46.91,49.47,94.82
2025-04-06,2717.04,42.11,88.0,130.11,0.651,19.13,31.97,12.84,40.03,32.07
2025-04-07,3162.96,42.11,88.0,130.11,0.651,19.64,36.42,16.78,23.31,71.99
2025-04-08,3704.74,50.0,95.12,145.12,0.726,19.54,53.4,33.86,58.22,58.17
2025-04-09,4026.54,42.11,88.0,130.11,0.651,16.52,39.56,23.04,61.42,37.51
2025-04-10,4481.45,42.11,88.0,130.11,0.651,19.19,53.48,34.29,114.64,29.91
2025-04-11,3102.71,42.11,88.0,130.11,0.651,21.16,36.58,15.42,25.15,61.33
2025-04-12,3812.55,50.0,95.12,145.12,0.726,-4.79,52.5,57.29,87.93,65.15
2025-04-13,3194.32,42.11,88.0,130.11,0.651,13.73,36.5,22.77,24.43,93.21
2025-04-14,2908.94,42.11,88.0,130.11,0.651,17.2,37.8,20.6,154.45,13.34
2025-04-15,2667.6,42.11,88.0,130.11,0.651,20.86,33.82,12.96,49.31,26.28
2025-04-16,2590.57,42.11,88.0,130.11,0.651,24.4,35.66,11.25,22.53,49.96
2025-04-17,3860.0,84.21,126.0,210.21,1.051,-1.28,36.96,38.23,56.61,67.53
2025-04-18,2861.6,42.11,88.0,130.11,0.651,16.89,36.8,19.91,24.19,82.29
2025-04-19,2426.3,0.0,50.0,50.0,0.25,0.0,34.1,34.1,61.08,0.0
2025-04-20,2831.66,42.11,88.0,130.11,0.651,16.42,35.55,19.13,24.73,77.37
2025-04-21,3253.92,42.11,88.0,130.11,0.651,-15.89,33.08,48.97,117.99,41.5
2025-04-22,4077.03,84.21,126.0,210.21,1.051,1.55,36.08,34.53,94.91,36.38
2025-04-23,3340.39,42.11,88.0,130.11,0.651,16.58,39.61,23.03,131.89,17.46
2025-04-24,3082.93,42.11,88.0,130.11,0.651,18.63,38.81,20.18,25.18,80.15
2025-04-25,2771.91,42.11,88.0,130.11,0.651,21.34,37.4,16.06,80.03,20.06
2025-04-26,2579.95,0.0,50.0,50.0,0.25,0.0,30.11,30.11,23.47,0.0
2025-04-27,2909.35,42.11,88.0,130.11,0.651,14.64,30.78,16.14,36.24,44.53
2025-04-28,2985.09,42.11,88.0,130.11,0.651,-18.4,82.77,101.17,164.68,61.43
2025-04-29,3243.07,42.11,88.0,130.11,0.651,-5.45,36.23,41.68,89.32,46.66
2025-04-30,2955.28,42.11,88.0,130.11,0.651,19.42,37.65,18.23,105.97,17.21
2025-05-01,1570.88,0.0,50.0,50.0,0.25,0.0,2.19,2.19,50.1,0.0
2025-05-02,2739.38,42.11,88.0,130.11,0.651,22.19,38.38,16.19,105.76,15.31
2025-05-03,2733.92,42.11,88.0,130.11,0.651,14.5,35.25,20.75,24.44,84.92
2025-05-04,3047.74,42.11,88.0,130.11,0.651,23.4,63.07,39.67,88.44,44.85
2025-05-05,2774.95,42.11,88.0,130.11,0.651,15.99,36.75,20.76,24.79,83.74
2025-05-06,3418.14,42.11,88.0,130.11,0.651,19.35,73.15,53.8,99.91,53.85
2025-05-07,3265.38,42.11,88.0,130.11,0.651,18.14,36.9,18.76,89.94,20.86
2025-05-08,3093.08,42.11,88.0,130.11,0.651,21.17,39.13,17.96,64.23,27.96
2025-05-09,2027.65,0.0,50.0,50.0,0.25,0.0,40.65,40.65,25.13,0.0
2025-05-10,4408.95,42.11,88.0,130.11,0.651,14.63,73.53,58.9,106.16,55.48
2025-05-11,3466.31,42.11,88.0,130.11,0.651,16.7,31.32,14.62,113.81,12.84
2025-05-12,2665.28,42.11,88.0,130.11,0.651,19.99,37.9,17.91,31.08,57.62
2025-05-13,3186.05,50.0,95.12,145.12,0.726,-6.67,36.37,43.04,51.56,83.48
2025-05-14,2081.42,0.0,50.0,50.0,0.25,0.0,42.26,42.26,38.14,0.0
2025-05-15,2768.23,42.11,88.0,130.11,0.651,21.51,41.27,19.76,24.65,80.16
2025-05-16,3071.58,42.11,88.0,130.11,0.651,23.32,41.58,18.26,27.56,66.25
2025-05-17,3274.57,42.11,88.0,130.11,0.651,22.53,36.47,13.94,25.26,55.17
2025-05-18,3439.77,42.11,88.0,130.11,0.651,18.22,35.85,17.63,87.68,20.11
2025-05-19,3343.76,42.11,88.0,130.11,0.651,21.58,37.94,16.36,87.66,18.67
2025-05-20,3548.85,42.11,88.0,130.11,0.651,19.96,35.68,15.72,22.6,69.58
2025-05-21,3585.63,42.11,88.0,130.11,0.651,22.27,41.03,18.76,44.09,42.55
2025-05-22,3527.23,42.11,88.0,130.11,0.651,21.16,40.34,19.18,68.98,27.8
2025-05-23,3373.3,42.11,88.0,130.11,0.651,22.29,78.51,56.22,107.18,52.45
2025-05-24,3257.85,42.11,88.0,130.11,0.651,18.59,37.27,18.68,24.09,77.53
2025-05-25,3139.22,42.11,88.0,130.11,0.651,19.33,36.37,17.04,32.21,52.91
2025-05-26,2444.89,0.0,50.0,50.0,0.25,0.0,38.88,38.88,26.61,0.0
2025-05-27,4715.35,84.21,126.0,210.21,1.051,25.3,60.57,35.27,87.18,40.46
2025-05-28,1989.91,0.0,50.0,50.0,0.25,0.0,35.01,35.01,25.02,0.0
2025-05-29,3438.61,42.11,88.0,130.11,0.651,25.18,40.41,15.23,74.91,20.32
2025-05-30,3568.69,42.11,88.0,130.11,0.651,21.64,40.99,19.35,112.47,17.2
2025-05-31,2796.58,42.11,88.0,130.11,0.651,17.43,47.28,29.85,73.75,40.47
2025-06-01,1776.17,0.0,50.0,50.0,0.25,0.0,35.82,35.82,67.87,0.0
2025-06-02,3391.26,50.0,95.12,145.12,0.726,23.56,41.55,17.99,26.1,68.92
2025-06-03,2499.79,0.0,50.0,50.0,0.25,0.0,38.69,38.69,113.13,0.0
2025-06-04,3435.05,42.11,88.0,130.11,0.651,22.53,79.41,56.88,111.43,51.04
2025-06-05,3365.68,42.11,88.0,130.11,0.651,25.61,40.94,15.33,26.41,58.03
2025-06-06,2512.98,0.0,50.0,50.0,0.25,0.0,43.02,43.02,126.67,0.0
2025-06-07,3036.59,42.11,88.0,130.11,0.651,20.3,37.79,17.49,125.38,13.95
2025-06-08,2811.05,42.11,88.0,130.11,0.651,17.17,34.63,17.46,24.37,71.63
2025-06-09,3035.46,42.11,88.0,130.11,0.651,21.3,41.13,19.83,24.77,80.06
2025-06-10,4701.34,92.11,133.12,225.23,1.126,33.66,67.7,34.04,106.79,31.87
2025-06-11,3295.92,42.11,88.0,130.11,0.651,19.82,38.33,18.51,113.56,16.3
2025-06-12,3062.23,42.11,88.0,130.11,0.651,26.75,42.55,15.8,65.81,24.01
2025-06-13,3189.07,42.11,88.0,130.11,0.651,24.27,42.93,18.66,41.89,44.55
2025-06-14,3060.33,42.11,88.0,130.11,0.651,22.15,37.66,15.51,141.93,10.93
2025-06-15,6200.6,84.21,126.0,210.21,1.051,18.52,68.37,49.85,124.04,40.19
2025-06-16,2978.64,42.11,88.0,130.11,0.651,18.73,41.6,22.87,26.08,87.69
2025-06-17,4167.47,84.21,126.0,210.21,1.051,23.13,41.09,17.96,56.35,31.87
2025-06-18,2184.29,0.0,50.0,50.0,0.25,0.0,41.46,41.46,23.85,0.0
2025-06-19,3240.24,42.11,88.0,130.11,0.651,21.49,41.48,19.99,22.42,89.16
2025-06-20,3145.55,42.11,88.0,130.11,0.651,24.61,42.05,17.44,23.44,74.39
2025-06-21,3801.76,42.11,88.0,130.11,0.651,29.04,61.68,32.64,112.09,29.12
2025-06-22,2939.56,42.11,88.0,130.11,0.651,19.65,39.97,20.32,83.85,24.23
2025-06-23,4108.91,42.11,88.0,130.11,0.651,25.92,97.55,71.63,115.8,61.86
2025-06-24,3324.97,42.11,88.0,130.11,0.651,23.36,41.79,18.43,23.94,76.99
2025-06-25,3596.51,42.11,88.0,130.11,0.651,22.45,44.01,21.56,28.57,75.46
2025-06-26,3601.97,42.11,88.0,130.11,0.651,26.29,46.17,19.88,25.15,79.05
2025-06-27,3354.06,50.0,95.12,145.12,0.726,25.9,70.89,44.99,82.54,54.51
2025-06-28,3155.42,42.11,88.0,130.11,0.651,22.15,35.46,13.31,25.11,53.02
2025-06-29,3083.58,42.11,88.0,130.11,0.651,23.1,38.01,14.91,26.13,57.05
2025-06-30,2571.41,0.0,50.0,50.0,0.25,0.0,44.74,44.74,24.19,0.0
2025-07-01,3225.65,42.11,88.0,130.11,0.651,28.66,45.71,17.05,28.74,59.31
2025-07-02,3921.6,0.0,50.0,50.0,0.25,0.0,144.7,144.7,125.32,0.0
2025-07-03,3202.09,42.11,88.0,130.11,0.651,26.63,72.37,45.74,116.53,39.25
2025-07-04,2555.9,0.0,50.0,50.0,0.25,0.0,43.84,43.84,47.27,0.0
2025-07-05,2237.93,0.0,50.0,50.0,0.25,0.0,41.6,41.6,25.14,0.0
2025-07-06,2376.8,0.0,50.0,50.0,0.25,0.0,37.35,37.35,19.34,0.0
2025-07-07,2685.03,0.0,50.0,50.0,0.25,0.0,45.54,45.54,25.73,0.0
2025-07-08,4084.3,55.4,100.0,155.4,0.777,32.18,85.61,53.43,114.92,46.5
2025-07-09,4113.5,55.4,100.0,155.4,0.777,28.97,36.59,7.62,109.12,6.98
2025-07-10,2607.84,0.0,50.0,50.0,0.25,0.0,45.16,45.16,46.05,0.0
2025-07-11,2523.26,0.0,50.0,50.0,0.25,0.0,44.52,44.52,87.3,0.0
2025-07-12,2993.9,42.11,88.0,130.11,0.651,21.9,38.96,17.06,29.49,57.85
2025-07-13,2994.29,42.11,88.0,130.11,0.651,15.69,44.36,28.67,74.13,38.67
2025-07-14,3990.59,55.4,100.0,155.4,0.777,26.58,80.34,53.76,90.76,59.24
2025-07-15,2335.14,0.0,50.0,50.0,0.25,0.0,45.15,45.15,23.94,0.0
2025-07-16,2463.04,0.0,50.0,50.0,0.25,0.0,42.58,42.58,53.65,0.0
2025-07-17,2813.15,0.0,50.0,50.0,0.25,0.0,43.26,43.26,103.88,0.0
2025-07-18,3336.44,42.11,88.0,130.11,0.651,23.75,45.82,22.07,108.11,20.41
2025-07-19,2374.8,0.0,50.0,50.0,0.25,0.0,41.94,41.94,36.53,0.0
2025-07-20,3301.43,42.11,88.0,130.11,0.651,22.61,39.95,17.34,22.08,78.53
2025-07-21,3611.28,42.11,88.0,130.11,0.651,29.11,41.87,12.76,28.52,44.75
2025-07-22,2601.34,0.0,50.0,50.0,0.25,0.0,47.79,47.79,24.69,0.0
2025-07-23,2449.1,0.0,50.0,50.0,0.25,0.0,44.46,44.46,34.11,0.0
2025-07-24,2382.33,0.0,50.0,50.0,0.25,0.0,84.57,84.57,58.3,0.0
2025-07-25,3397.75,42.11,88.0,130.11,0.651,24.37,45.53,21.16,24.69,85.71
2025-07-26,3241.01,42.11,88.0,130.11,0.651,31.84,34.75,2.91,36.75,7.91
2025-07-27,3197.95,42.11,88.0,130.11,0.651,21.44,40.24,18.8,28.73,65.44
2025-07-28,4059.36,42.11,88.0,130.11,0.651,27.08,45.08,18.0,25.81,69.73
2025-07-29,3127.6,0.0,50.0,50.0,0.25,0.0,45.99,45.99,115.85,0.0
2025-07-30,3895.6,42.11,88.0,130.11,0.651,28.34,72.16,43.82,66.85,65.55
2025-07-31,3333.31,42.11,88.0,130.11,0.651,24.59,45.89,21.3,65.35,32.6
2025-08-01,2574.2,0.0,50.0,50.0,0.25,0.0,51.65,51.65,25.89,0.0
2025-08-02,2899.68,0.0,50.0,50.0,0.25,0.0,41.51,41.51,109.92,0.0
2025-08-03,3824.1,50.0,95.12,145.12,0.726,25.05,39.83,14.78,53.07,27.85
2025-08-04,2242.35,0.0,50.0,50.0,0.25,0.0,46.47,46.47,52.45,0.0
2025-08-05,2210.2,0.0,50.0,50.0,0.25,0.0,44.37,44.37,29.23,0.0
2025-08-06,2304.84,0.0,50.0,50.0,0.25,0.0,46.99,46.99,46.73,0.0
2025-08-07,3389.48,42.11,88.0,130.11,0.651,3.92,43.71,39.79,43.65,91.15
2025-08-08,3504.57,42.11,88.0,130.11,0.651,27.11,45.75,18.64,23.32,79.92
2025-08-09,2610.49,0.0,50.0,50.0,0.25,0.0,43.35,43.35,96.76,0.0
2025-08-10,3239.03,42.11,88.0,130.11,0.651,22.96,42.48,19.52,36.09,54.09
2025-08-11,4132.41,42.11,88.0,130.11,0.651,27.38,79.06,51.68,93.79,55.1
2025-08-12,2400.06,0.0,50.0,50.0,0.25,0.0,85.1,85.1,59.16,0.0
2025-08-13,2580.03,0.0,50.0,50.0,0.25,0.0,47.05,47.05,22.6,0.0
2025-08-14,3639.97,42.11,88.0,130.11,0.651,32.49,44.08,11.59,122.86,9.43
2025-08-15,2395.89,0.0,50.0,50.0,0.25,0.0,50.83,50.83,23.39,0.0
2025-08-16,3156.02,42.11,88.0,130.11,0.651,23.84,44.42,20.58,42.39,48.54
2025-08-17,2942.25,42.11,88.0,130.11,0.651,30.38,41.89,11.51,25.83,44.56
2025-08-18,3541.83,42.11,88.0,130.11,0.651,32.0,43.96,11.96,45.62,26.22
2025-08-19,3479.66,42.11,88.0,130.11,0.651,29.17,45.76,16.59,41.81,39.69
2025-08-20,3520.09,42.11,88.0,130.11,0.651,29.25,76.21,46.96,84.92,55.3
2025-08-21,3552.38,42.11,88.0,130.11,0.651,28.64,44.62,15.98,82.94,19.26
2025-08-22,2306.82,0.0,50.0,50.0,0.25,0.0,40.5,40.5,101.38,0.0
2025-08-23,3158.55,42.11,88.0,130.11,0.651,27.4,45.15,17.75,101.2,17.54
2025-08-24,2303.86,0.0,50.0,50.0,0.25,0.0,39.3,39.3,37.72,0.0
2025-08-25,2384.77,0.0,50.0,50.0,0.25,0.0,45.81,45.81,23.76,0.0
2025-08-26,3169.99,42.11,88.0,130.11,0.651,11.63,63.83,52.2,77.61,67.26
2025-08-27,2366.69,0.0,50.0,50.0,0.25,0.0,46.47,46.47,26.98,0.0
2025-08-28,3777.11,42.11,88.0,130.11,0.651,26.83,48.57,21.74,118.73,18.31
2025-08-29,3173.69,42.11,88.0,130.11,0.651,30.72,50.63,19.91,26.03,76.5
2025-08-30,2718.25,0.0,50.0,50.0,0.25,0.0,77.19,77.19,56.86,0.0
2025-08-31,4313.33,55.4,100.0,155.4,0.777,35.17,69.52,34.35,71.68,47.91
2025-09-01,2438.98,0.0,50.0,50.0,0.25,0.0,42.93,42.93,63.62,0.0
2025-09-02,3200.56,42.11,88.0,130.11,0.651,26.25,47.44,21.19,36.95,57.35
2025-09-03,2449.74,0.0,50.0,50.0,0.25,0.0,50.16,50.16,28.05,0.0
2025-09-04,3551.25,42.11,88.0,130.11,0.651,33.63,47.16,13.53,52.33,25.86
