year_month,gross_revenue_usd,energy_discharged_mwh,throughput_mwh,efc,realized_spread_usd,revenue_per_efc
2025-01,58477.78,1508.0,2237.09,11.19,25.19,5228.03
2025-02,91046.85,2466.5,3648.22,18.24,25.04,4991.31
2025-03,95108.49,2621.12,3807.97,19.04,26.9,4995.24
2025-04,92611.9,2616.25,3853.09,19.27,28.22,4807.15
2025-05,95763.16,2583.12,3727.86,18.64,24.09,5137.7
2025-06,98627.88,2585.38,3788.01,18.94,24.85,5207.38
2025-07,95433.31,2194.0,2907.57,14.54,25.95,6564.46
2025-08,93812.59,2215.12,2952.11,14.76,24.73,6355.64
2025-09,94568.13,2146.0,2861.79,14.31,27.73,6609.02
2025-10,101176.15,2239.12,3002.7,15.01,28.19,6739.01
2025-11,93140.67,2094.0,2752.17,13.76,11.84,6768.52
2025-12,92324.82,1973.12,2497.36,12.49,15.69,7393.78
