date,gross_revenue_usd,charge_energy_mwh,discharge_energy_mwh,degradation_cost_usd,net_revenue_usd,efc,remaining_soh
2025-01-15,5306.5475,97.5069,138.0,1444.06,3862.4875,1.1775,0.9999
2025-01-16,3092.9114,42.1053,88.0,787.46,2305.4514,0.6505,0.9998
2025-01-17,3431.6821,42.1053,88.0,771.44,2660.2421,0.6505,0.9998
2025-01-18,3128.0005,42.1053,88.0,787.46,2340.5405,0.6505,0.9997
2025-01-19,3229.1901,42.1053,88.0,779.14,2450.0501,0.6505,0.9997
2025-01-20,3693.9105,42.1053,88.0,771.44,2922.4705,0.6505,0.9996
2025-01-21,3833.5463,42.1053,88.0,796.4,3037.1463,0.6505,0.9995
2025-01-22,4151.5235,42.1053,88.0,742.15,3409.3735,0.6505,0.9995
2025-01-23,2122.875,0.0,50.0,558.79,1564.085,0.25,0.9994
2025-01-24,3221.9646,42.1053,88.0,764.35,2457.6146,0.6505,0.9994
2025-01-25,2945.3168,42.1053,88.0,764.35,2180.9668,0.6505,0.9993
2025-01-26,2988.6153,42.1053,88.0,752.02,2236.5953,0.6505,0.9993
2025-01-27,2434.21,0.0,50.0,558.79,1875.42,0.25,0.9992
2025-01-28,4283.85,84.2105,126.0,1288.19,2995.66,1.0511,0.9991
2025-01-29,3521.8379,42.1053,88.0,816.13,2705.7079,0.6505,0.9991
2025-01-30,3984.3427,42.1053,88.0,727.36,3256.9827,0.6505,0.999
2025-01-31,3107.4537,42.1053,88.0,764.35,2343.1037,0.6505,0.999
2025-02-01,2993.8283,50.0,95.125,802.35,2191.4783,0.7256,0.9989
2025-02-02,3293.4982,42.1053,88.0,771.44,2522.0582,0.6505,0.9989
2025-02-03,3144.5429,42.1053,88.0,757.87,2386.6729,0.6505,0.9988
2025-02-04,3755.232,50.0,95.125,806.65,2948.582,0.7256,0.9987
2025-02-05,3452.0725,42.1053,88.0,752.02,2700.0525,0.6505,0.9987
2025-02-06,3402.8563,42.1053,88.0,826.92,2575.9363,0.6505,0.9986
2025-02-07,4667.2852,84.2105,126.0,1265.73,3401.5552,1.0511,0.9985
2025-02-08,5231.595,84.2105,126.0,1271.39,3960.205,1.0511,0.9984
2025-02-09,2603.7581,42.1053,88.0,787.46,1816.2981,0.6505,0.9984
2025-02-10,2871.6813,42.1053,88.0,764.35,2107.3313,0.6505,0.9983
2025-02-11,3240.4001,42.1053,88.0,764.35,2476.0501,0.6505,0.9983
2025-02-12,3051.3577,42.1053,88.0,757.87,2293.4877,0.6505,0.9982
2025-02-13,3216.6258,42.1053,88.0,771.44,2445.1858,0.6505,0.9982
2025-02-14,1883.15,0.0,50.0,558.79,1324.36,0.25,0.9981
2025-02-15,2980.4651,42.1053,88.0,746.78,2233.6851,0.6505,0.9981
2025-02-16,3337.3784,42.1053,88.0,771.44,2565.9384,0.6505,0.998
2025-02-17,3910.4022,42.1053,88.0,771.44,3138.9622,0.6505,0.9979
2025-02-18,5587.9367,55.4017,100.0,888.0,4699.9367,0.777,0.9979
2025-02-19,3006.7742,42.1053,88.0,757.87,2248.9042,0.6505,0.9978
2025-02-20,3174.8137,50.0,95.125,799.44,2375.3737,0.7256,0.9978
2025-02-21,2178.585,0.0,50.0,558.79,1619.795,0.25,0.9977
2025-02-22,2904.6744,42.1053,88.0,764.35,2140.3244,0.6505,0.9977
2025-02-23,3256.0291,42.1053,88.0,787.46,2468.5691,0.6505,0.9976
2025-02-24,2003.14,0.0,50.0,558.79,1444.35,0.25,0.9976
2025-02-25,3034.9905,42.1053,88.0,779.14,2255.8505,0.6505,0.9975
2025-02-26,3185.7393,50.0,95.125,834.83,2350.9093,0.7256,0.9974
2025-02-27,2749.2542,42.1053,88.0,771.44,1977.8142,0.6505,0.9974
2025-02-28,2928.7866,42.1053,88.0,787.46,2141.3266,0.6505,0.9973
2025-03-01,3298.5468,42.1053,88.0,826.92,2471.6268,0.6505,0.9973
2025-03-02,2762.1753,42.1053,88.0,752.02,2010.1553,0.6505,0.9972
2025-03-03,4433.9186,42.1053,88.0,757.87,3676.0486,0.6505,0.9972
2025-03-04,4917.5734,50.0,95.125,859.7,4057.8734,0.7256,0.9971
2025-03-05,2810.6514,42.1053,88.0,826.92,1983.7314,0.6505,0.997
2025-03-06,2667.3902,42.1053,88.0,746.78,1920.6102,0.6505,0.997
2025-03-07,2964.4111,42.1053,88.0,746.78,2217.6311,0.6505,0.9969
2025-03-08,3121.7374,42.1053,88.0,779.14,2342.5974,0.6505,0.9969
2025-03-09,3057.9271,42.1053,88.0,731.98,2325.9471,0.6505,0.9968
2025-03-10,2120.195,0.0,50.0,558.79,1561.405,0.25,0.9968
2025-03-11,2903.7337,42.1053,88.0,787.46,2116.2737,0.6505,0.9967
2025-03-12,2516.68,0.0,50.0,558.79,1957.89,0.25,0.9967
2025-03-13,3444.5012,42.1053,88.0,771.44,2673.0612,0.6505,0.9966
2025-03-14,2646.8977,42.1053,88.0,779.14,1867.7577,0.6505,0.9965
2025-03-15,3273.5107,42.1053,88.0,771.44,2502.0707,0.6505,0.9965
2025-03-16,1895.96,0.0,50.0,558.79,1337.17,0.25,0.9965
2025-03-17,2841.5518,42.1053,88.0,771.44,2070.1118,0.6505,0.9964
2025-03-18,1954.44,0.0,50.0,558.79,1395.65,0.25,0.9964
2025-03-19,2808.7142,42.1053,88.0,757.87,2050.8442,0.6505,0.9963
2025-03-20,3519.3197,42.1053,88.0,796.4,2722.9197,0.6505,0.9962
2025-03-21,2950.2221,42.1053,88.0,764.35,2185.8721,0.6505,0.9962
2025-03-22,2903.4726,42.1053,88.0,779.14,2124.3326,0.6505,0.9961
2025-03-23,3012.7151,42.1053,88.0,779.14,2233.5751,0.6505,0.9961
2025-03-24,2946.3585,42.1053,88.0,752.02,2194.3385,0.6505,0.996
2025-03-25,4243.21,84.2105,126.0,1266.69,2976.52,1.0511,0.9959
2025-03-26,2657.2659,42.1053,88.0,752.02,1905.2459,0.6505,0.9959
2025-03-27,2528.4639,42.1053,88.0,771.44,1757.0239,0.6505,0.9958
2025-03-28,3166.581,42.1053,88.0,796.4,2370.181,0.6505,0.9957
2025-03-29,3435.0226,42.1053,88.0,752.02,2683.0026,0.6505,0.9957
2025-03-30,2833.035,42.1053,88.0,752.02,2081.015,0.6505,0.9956
