timestamp,actual_price,forecast_price,charge_power_mw,discharge_power_mw,net_power_mw,cumulative_revenue_usd,soc,soc_fraction
2025-01-15 00:00:00+00:00,36.16,37.9,0.0,0.0,-13.3,0.0,0.5,0.5
2025-01-15 01:00:00+00:00,126.87,127.02,0.0,45.0,50.0,5709.15,0.05,0.05
2025-01-15 02:00:00+00:00,34.25,36.37,0.0,0.0,-50.0,5709.15,0.05,0.05
2025-01-15 03:00:00+00:00,29.22,33.53,0.0,0.0,-34.21,5709.15,0.05,0.05
2025-01-15 04:00:00+00:00,26.16,26.07,50.0,0.0,0.0,4401.15,0.45,0.45
2025-01-15 05:00:00+00:00,26.76,26.67,50.0,0.0,0.0,3063.15,0.9,0.9
2025-01-15 06:00:00+00:00,25.17,29.62,0.0,0.0,0.0,3063.15,0.9,0.9
2025-01-15 07:00:00+00:00,22.29,24.71,50.0,0.0,0.0,1948.65,0.95,0.95
2025-01-15 08:00:00+00:00,22.04,21.37,50.0,0.0,0.0,846.65,0.95,0.95
2025-01-15 09:00:00+00:00,24.14,26.0,50.0,0.0,0.0,-360.35,0.95,0.95
2025-01-15 10:00:00+00:00,20.94,20.28,50.0,0.0,0.0,-1407.35,0.95,0.95
2025-01-15 11:00:00+00:00,22.63,21.97,50.0,0.0,0.0,-2538.85,0.95,0.95
2025-01-15 12:00:00+00:00,26.42,27.52,50.0,0.0,0.0,-3859.85,0.95,0.95
2025-01-15 13:00:00+00:00,30.1,25.82,50.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 14:00:00+00:00,34.0,30.19,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 15:00:00+00:00,39.5,38.59,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 16:00:00+00:00,40.36,38.33,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 17:00:00+00:00,39.89,41.18,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 18:00:00+00:00,41.83,40.06,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 19:00:00+00:00,40.37,37.34,0.0,0.0,0.0,-5364.85,0.95,0.95
2025-01-15 20:00:00+00:00,43.17,47.33,0.0,45.0,0.0,-3422.2,0.95,0.95
2025-01-15 21:00:00+00:00,42.16,42.1,0.0,45.0,38.0,-1525.0,0.95,0.95
2025-01-15 22:00:00+00:00,42.69,43.36,0.0,45.0,0.0,396.05,0.95,0.95
2025-01-15 23:00:00+00:00,38.22,35.16,0.0,0.0,50.0,396.05,0.95,0.95
2025-01-16 00:00:00+00:00,39.42,38.56,0.0,0.0,0.0,396.05,0.95,0.95
2025-01-16 01:00:00+00:00,39.54,40.32,0.0,0.0,0.0,396.05,0.95,0.95
2025-01-16 02:00:00+00:00,32.85,30.47,0.0,0.0,0.0,396.05,0.95,0.95
2025-01-16 03:00:00+00:00,31.54,32.98,0.0,0.0,0.0,396.05,0.95,0.95
2025-01-16 04:00:00+00:00,29.85,28.85,0.0,0.0,0.0,396.05,0.95,0.95
2025-01-16 05:00:00+00:00,25.05,24.82,50.0,0.0,0.0,-856.45,0.95,0.95
2025-01-16 06:00:00+00:00,25.02,24.02,50.0,0.0,0.0,-2107.45,0.95,0.95
2025-01-16 07:00:00+00:00,23.49,28.62,0.0,0.0,-42.11,-2107.45,0.95,0.95
2025-01-16 08:00:00+00:00,23.37,23.84,50.0,0.0,0.0,-3275.95,0.95,0.95
2025-01-16 09:00:00+00:00,21.53,19.39,50.0,0.0,0.0,-4352.45,0.95,0.95
2025-01-16 10:00:00+00:00,24.52,27.08,50.0,0.0,0.0,-5578.45,0.95,0.95
2025-01-16 11:00:00+00:00,27.3,24.75,50.0,0.0,0.0,-6943.45,0.95,0.95
2025-01-16 12:00:00+00:00,31.75,32.77,0.0,0.0,0.0,-6943.45,0.95,0.95
2025-01-16 13:00:00+00:00,32.93,28.53,0.0,0.0,0.0,-6943.45,0.95,0.95
2025-01-16 14:00:00+00:00,38.5,35.68,0.0,0.0,0.0,-6943.45,0.95,0.95
2025-01-16 15:00:00+00:00,33.79,34.78,0.0,0.0,0.0,-6943.45,0.95,0.95
2025-01-16 16:00:00+00:00,40.3,42.65,0.0,45.0,0.0,-5129.95,0.95,0.95
2025-01-16 17:00:00+00:00,40.65,41.58,0.0,0.0,0.0,-5129.95,0.95,0.95
2025-01-16 18:00:00+00:00,47.26,47.47,0.0,45.0,0.0,-3003.25,0.95,0.95
2025-01-16 19:00:00+00:00,40.76,40.51,0.0,0.0,0.0,-3003.25,0.95,0.95
2025-01-16 20:00:00+00:00,41.02,37.82,0.0,0.0,0.0,-3003.25,0.95,0.95
2025-01-16 21:00:00+00:00,41.28,39.98,0.0,0.0,38.0,-3003.25,0.95,0.95
2025-01-16 22:00:00+00:00,36.47,35.82,0.0,0.0,0.0,-3003.25,0.95,0.95
2025-01-16 23:00:00+00:00,38.88,42.02,0.0,45.0,50.0,-1253.65,0.95,0.95
2025-01-17 00:00:00+00:00,36.13,37.49,0.0,0.0,0.0,-1253.65,0.95,0.95
2025-01-17 01:00:00+00:00,35.99,32.08,0.0,0.0,0.0,-1253.65,0.95,0.95
2025-01-17 02:00:00+00:00,33.88,35.19,0.0,0.0,0.0,-1253.65,0.95,0.95
2025-01-17 03:00:00+00:00,35.13,34.67,0.0,0.0,0.0,-1253.65,0.95,0.95
2025-01-17 04:00:00+00:00,30.4,29.21,0.0,0.0,0.0,-1253.65,0.95,0.95
2025-01-17 05:00:00+00:00,24.51,26.54,50.0,0.0,0.0,-2479.15,0.95,0.95
2025-01-17 06:00:00+00:00,22.12,25.2,50.0,0.0,0.0,-3585.15,0.95,0.95
2025-01-17 07:00:00+00:00,24.59,27.42,50.0,0.0,-42.11,-4814.65,0.95,0.95
2025-01-17 08:00:00+00:00,19.72,18.12,50.0,0.0,0.0,-5800.65,0.95,0.95
2025-01-17 09:00:00+00:00,27.94,27.67,0.0,0.0,0.0,-5800.65,0.95,0.95
2025-01-17 10:00:00+00:00,27.31,28.64,0.0,0.0,0.0,-5800.65,0.95,0.95
2025-01-17 11:00:00+00:00,24.78,27.72,0.0,0.0,0.0,-5800.65,0.95,0.95
2025-01-17 12:00:00+00:00,23.74,23.04,50.0,0.0,0.0,-6987.65,0.95,0.95
2025-01-17 13:00:00+00:00,33.82,33.86,0.0,0.0,0.0,-6987.65,0.95,0.95
2025-01-17 14:00:00+00:00,32.74,30.47,0.0,0.0,0.0,-6987.65,0.95,0.95
2025-01-17 15:00:00+00:00,38.71,36.22,0.0,0.0,0.0,-6987.65,0.95,0.95
2025-01-17 16:00:00+00:00,34.04,36.57,0.0,0.0,0.0,-6987.65,0.95,0.95
2025-01-17 17:00:00+00:00,38.6,42.49,0.0,45.0,0.0,-5250.65,0.95,0.95
2025-01-17 18:00:00+00:00,41.7,42.02,0.0,45.0,-0.0,-3374.15,0.95,0.95
2025-01-17 19:00:00+00:00,121.7,124.71,0.0,45.0,38.0,2102.35,0.95,0.95
2025-01-17 20:00:00+00:00,41.9,43.3,0.0,45.0,0.0,3987.85,0.95,0.95
2025-01-17 21:00:00+00:00,44.24,43.13,0.0,45.0,0.0,5978.65,0.95,0.95
2025-01-17 22:00:00+00:00,39.01,40.41,0.0,0.0,0.0,5978.65,0.95,0.95
2025-01-17 23:00:00+00:00,39.74,44.09,0.0,45.0,50.0,7766.95,0.95,0.95
2025-01-18 00:00:00+00:00,34.23,34.64,0.0,0.0,0.0,7766.95,0.95,0.95
2025-01-18 01:00:00+00:00,32.8,37.21,0.0,0.0,0.0,7766.95,0.95,0.95
2025-01-18 02:00:00+00:00,30.71,24.66,50.0,0.0,0.0,6231.45,0.95,0.95
2025-01-18 03:00:00+00:00,23.53,26.08,50.0,0.0,0.0,5054.95,0.95,0.95
2025-01-18 04:00:00+00:00,80.87,81.59,0.0,45.0,0.0,8694.1,0.95,0.95
2025-01-18 05:00:00+00:00,25.05,24.8,50.0,0.0,0.0,7441.6,0.95,0.95
2025-01-18 06:00:00+00:00,21.1,21.83,50.0,0.0,0.0,6386.6,0.95,0.95
2025-01-18 07:00:00+00:00,17.4,12.93,50.0,0.0,0.0,5516.6,0.95,0.95
2025-01-18 08:00:00+00:00,22.8,22.75,50.0,0.0,-42.11,4376.6,0.95,0.95
2025-01-18 09:00:00+00:00,19.56,20.95,50.0,0.0,0.0,3398.6,0.95,0.95
2025-01-18 10:00:00+00:00,23.21,27.4,50.0,0.0,0.0,2238.1,0.95,0.95
2025-01-18 11:00:00+00:00,22.02,21.22,50.0,0.0,0.0,1137.1,0.95,0.95
2025-01-18 12:00:00+00:00,29.08,27.56,50.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 13:00:00+00:00,30.73,29.98,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 14:00:00+00:00,28.3,31.09,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 15:00:00+00:00,33.94,35.26,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 16:00:00+00:00,35.54,34.72,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 17:00:00+00:00,39.42,41.2,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 18:00:00+00:00,35.17,35.91,0.0,0.0,0.0,-316.9,0.95,0.95
2025-01-18 19:00:00+00:00,40.3,43.22,0.0,45.0,0.0,1496.6,0.95,0.95
2025-01-18 20:00:00+00:00,41.57,40.31,0.0,0.0,0.0,1496.6,0.95,0.95
2025-01-18 21:00:00+00:00,34.19,33.87,0.0,0.0,0.0,1496.6,0.95,0.95
2025-01-18 22:00:00+00:00,34.63,34.15,0.0,0.0,38.0,1496.6,0.95,0.95
2025-01-18 23:00:00+00:00,30.9,27.74,0.0,0.0,50.0,1496.6,0.95,0.95
2025-01-19 00:00:00+00:00,33.16,34.4,0.0,0.0,0.0,1496.6,0.95,0.95
2025-01-19 01:00:00+00:00,33.21,34.36,0.0,0.0,0.0,1496.6,0.95,0.95
2025-01-19 02:00:00+00:00,32.59,33.1,0.0,0.0,0.0,1496.6,0.95,0.95
2025-01-19 03:00:00+00:00,26.43,26.34,50.0,0.0,0.0,175.1,0.95,0.95
2025-01-19 04:00:00+00:00,27.9,24.86,50.0,0.0,0.0,-1219.9,0.95,0.95
2025-01-19 05:00:00+00:00,18.31,17.76,50.0,0.0,0.0,-2135.4,0.95,0.95
2025-01-19 06:00:00+00:00,15.91,15.55,50.0,0.0,0.0,-2930.9,0.95,0.95
2025-01-19 07:00:00+00:00,19.03,17.52,50.0,0.0,-42.11,-3882.4,0.95,0.95
2025-01-19 08:00:00+00:00,19.79,19.89,50.0,0.0,0.0,-4871.9,0.95,0.95
2025-01-19 09:00:00+00:00,19.09,20.6,50.0,0.0,0.0,-5826.4,0.95,0.95
2025-01-19 10:00:00+00:00,15.0,20.22,50.0,0.0,0.0,-6576.4,0.95,0.95
2025-01-19 11:00:00+00:00,21.54,22.48,50.0,0.0,0.0,-7653.4,0.95,0.95
2025-01-19 12:00:00+00:00,20.57,21.71,50.0,0.0,0.0,-8681.9,0.95,0.95
2025-01-19 13:00:00+00:00,27.92,28.23,0.0,0.0,0.0,-8681.9,0.95,0.95
2025-01-19 14:00:00+00:00,29.75,25.45,50.0,0.0,0.0,-10169.4,0.95,0.95
2025-01-19 15:00:00+00:00,112.62,113.05,0.0,45.0,0.0,-5101.5,0.95,0.95
2025-01-19 16:00:00+00:00,32.55,33.2,0.0,0.0,0.0,-5101.5,0.95,0.95
2025-01-19 17:00:00+00:00,33.25,39.91,0.0,0.0,0.0,-5101.5,0.95,0.95
2025-01-19 18:00:00+00:00,37.33,37.35,0.0,0.0,0.0,-5101.5,0.95,0.95
2025-01-19 19:00:00+00:00,40.88,42.13,0.0,45.0,0.0,-3261.9,0.95,0.95
2025-01-19 20:00:00+00:00,36.37,36.78,0.0,0.0,38.0,-3261.9,0.95,0.95
2025-01-19 21:00:00+00:00,39.75,37.33,0.0,0.0,0.0,-3261.9,0.95,0.95
2025-01-19 22:00:00+00:00,36.16,39.52,0.0,0.0,0.0,-3261.9,0.95,0.95
2025-01-19 23:00:00+00:00,33.92,36.3,0.0,0.0,50.0,-3261.9,0.95,0.95
2025-01-20 00:00:00+00:00,37.47,39.95,0.0,0.0,0.0,-3261.9,0.95,0.95
2025-01-20 01:00:00+00:00,32.73,30.96,0.0,0.0,0.0,-3261.9,0.95,0.95
2025-01-20 02:00:00+00:00,31.35,35.36,0.0,0.0,0.0,-3261.9,0.95,0.95
2025-01-20 03:00:00+00:00,27.15,24.15,50.0,0.0,0.0,-4619.4,0.95,0.95
2025-01-20 04:00:00+00:00,32.65,34.62,0.0,0.0,0.0,-4619.4,0.95,0.95
2025-01-20 05:00:00+00:00,25.75,31.73,0.0,0.0,0.0,-4619.4,0.95,0.95
2025-01-20 06:00:00+00:00,22.32,20.34,50.0,0.0,0.0,-5735.4,0.95,0.95
2025-01-20 07:00:00+00:00,23.61,22.69,50.0,0.0,0.0,-6915.9,0.95,0.95
2025-01-20 08:00:00+00:00,22.45,23.2,50.0,0.0,0.0,-8038.4,0.95,0.95
2025-01-20 09:00:00+00:00,22.52,21.76,50.0,0.0,-42.11,-9164.4,0.95,0.95
2025-01-20 10:00:00+00:00,25.61,22.23,50.0,0.0,0.0,-10444.9,0.95,0.95
2025-01-20 11:00:00+00:00,27.56,28.23,0.0,0.0,0.0,-10444.9,0.95,0.95
2025-01-20 12:00:00+00:00,26.41,24.25,50.0,0.0,0.0,-11765.4,0.95,0.95
2025-01-20 13:00:00+00:00,28.71,30.39,0.0,0.0,0.0,-11765.4,0.95,0.95
2025-01-20 14:00:00+00:00,32.05,30.25,0.0,0.0,0.0,-11765.4,0.95,0.95
2025-01-20 15:00:00+00:00,29.57,33.94,0.0,0.0,0.0,-11765.4,0.95,0.95
2025-01-20 16:00:00+00:00,33.95,32.49,0.0,0.0,0.0,-11765.4,0.95,0.95
2025-01-20 17:00:00+00:00,43.22,42.91,0.0,45.0,0.0,-9820.5,0.95,0.95
2025-01-20 18:00:00+00:00,45.51,48.04,0.0,45.0,0.0,-7772.55,0.95,0.95
2025-01-20 19:00:00+00:00,41.77,39.19,0.0,0.0,0.0,-7772.55,0.95,0.95
2025-01-20 20:00:00+00:00,44.18,45.25,0.0,45.0,0.0,-5784.45,0.95,0.95
2025-01-20 21:00:00+00:00,43.17,46.94,0.0,45.0,38.0,-3841.8,0.95,0.95
2025-01-20 22:00:00+00:00,49.09,45.57,0.0,45.0,0.0,-1632.75,0.95,0.95
