timestamp,actual_price,forecast_price,residual_usd,residual_usd_per_mwh,absolute_error_usd,absolute_error_usd_per_mwh,hour_of_day,hour
2025-01-08 00:00:00+00:00,38.31,39.57,1.26,1.26,1.26,1.26,0,0
2025-01-08 01:00:00+00:00,34.63,32.53,-2.1,-2.1,2.1,2.1,1,1
2025-01-08 02:00:00+00:00,31.7,34.08,2.38,2.38,2.38,2.38,2,2
2025-01-08 03:00:00+00:00,29.29,32.14,2.85,2.85,2.85,2.85,3,3
2025-01-08 04:00:00+00:00,28.73,24.35,-4.38,-4.38,4.38,4.38,4,4
2025-01-08 05:00:00+00:00,27.7,24.94,-2.76,-2.76,2.76,2.76,5,5
2025-01-08 06:00:00+00:00,25.95,26.77,0.82,0.82,0.82,0.82,6,6
2025-01-08 07:00:00+00:00,26.33,26.04,-0.29,-0.29,0.29,0.29,7,7
2025-01-08 08:00:00+00:00,23.95,24.41,0.46,0.46,0.46,0.46,8,8
2025-01-08 09:00:00+00:00,27.9,26.27,-1.63,-1.63,1.63,1.63,9,9
2025-01-08 10:00:00+00:00,24.6,27.3,2.7,2.7,2.7,2.7,10,10
2025-01-08 11:00:00+00:00,33.65,36.09,2.44,2.44,2.44,2.44,11,11
2025-01-08 12:00:00+00:00,30.49,31.16,0.67,0.67,0.67,0.67,12,12
2025-01-08 13:00:00+00:00,29.19,32.51,3.32,3.32,3.32,3.32,13,13
2025-01-08 14:00:00+00:00,31.24,32.91,1.67,1.67,1.67,1.67,14,14
2025-01-08 15:00:00+00:00,108.32,106.67,-1.65,-1.65,1.65,1.65,15,15
2025-01-08 16:00:00+00:00,38.36,39.78,1.42,1.42,1.42,1.42,16,16
2025-01-08 17:00:00+00:00,42.78,40.88,-1.9,-1.9,1.9,1.9,17,17
2025-01-08 18:00:00+00:00,43.76,46.46,2.7,2.7,2.7,2.7,18,18
2025-01-08 19:00:00+00:00,43.4,43.78,0.38,0.38,0.38,0.38,19,19
2025-01-08 20:00:00+00:00,41.8,41.84,0.04,0.04,0.04,0.04,20,20
2025-01-08 21:00:00+00:00,39.79,38.59,-1.2,-1.2,1.2,1.2,21,21
2025-01-08 22:00:00+00:00,41.47,45.03,3.56,3.56,3.56,3.56,22,22
2025-01-08 23:00:00+00:00,43.13,43.24,0.11,0.11,0.11,0.11,23,23
2025-01-09 00:00:00+00:00,39.36,38.79,-0.57,-0.57,0.57,0.57,0,0
2025-01-09 01:00:00+00:00,33.29,32.91,-0.38,-0.38,0.38,0.38,1,1
2025-01-09 02:00:00+00:00,34.25,36.08,1.83,1.83,1.83,1.83,2,2
2025-01-09 03:00:00+00:00,32.2,33.61,1.41,1.41,1.41,1.41,3,3
2025-01-09 04:00:00+00:00,26.61,28.14,1.53,1.53,1.53,1.53,4,4
2025-01-09 05:00:00+00:00,27.13,28.71,1.58,1.58,1.58,1.58,5,5
2025-01-09 06:00:00+00:00,25.31,31.16,5.85,5.85,5.85,5.85,6,6
2025-01-09 07:00:00+00:00,69.53,69.01,-0.52,-0.52,0.52,0.52,7,7
