window,soh,window_efc,cumulative_efc,degradation_cost_usd,cumulative_wear_cost_usd
1,0.999948,0.543,0.54,725.02,725.02
2,0.999897,0.543,1.09,725.02,1450.04
3,0.999845,0.543,1.63,725.02,2175.06
4,0.999794,0.543,2.17,725.02,2900.08
5,0.999742,0.543,2.72,725.02,3625.1
6,0.999691,0.543,3.26,725.02,4350.12
7,0.999639,0.543,3.8,725.02,5075.14
8,0.999588,0.543,4.34,725.02,5800.16
9,0.999536,0.543,4.89,725.02,6525.18
10,0.999485,0.543,5.43,725.02,7250.2
11,0.999433,0.543,5.97,725.02,7975.22
12,0.999382,0.543,6.52,725.02,8700.24
13,0.99933,0.543,7.06,725.02,9425.26
14,0.999279,0.543,7.6,725.02,10150.28
15,0.999227,0.543,8.15,725.02,10875.3
16,0.999176,0.543,8.69,725.02,11600.32
17,0.999124,0.543,9.23,725.02,12325.34
18,0.999073,0.543,9.77,725.02,13050.36
19,0.999021,0.543,10.32,725.02,13775.38
20,0.99897,0.543,10.86,725.02,14500.4
21,0.998918,0.543,11.4,725.02,15225.42
22,0.998867,0.543,11.95,725.02,15950.44
23,0.998815,0.543,12.49,725.02,16675.46
24,0.998764,0.543,13.03,725.02,17400.48
25,0.998712,0.543,13.57,725.02,18125.5
26,0.998661,0.543,14.12,725.02,18850.52
27,0.998609,0.543,14.66,725.02,19575.54
28,0.998558,0.543,15.2,725.02,20300.56
29,0.998506,0.543,15.75,725.02,21025.58
30,0.998455,0.543,16.29,725.02,21750.6
31,0.998403,0.543,16.83,725.02,22475.62
32,0.998352,0.543,17.38,725.02,23200.64
33,0.9983,0.543,17.92,725.02,23925.66
34,0.998249,0.543,18.46,725.02,24650.68
35,0.998197,0.543,19.0,725.02,25375.7
36,0.998146,0.543,19.55,725.02,26100.72
37,0.998094,0.543,20.09,725.02,26825.74
38,0.998043,0.543,20.63,725.02,27550.76
39,0.997991,0.543,21.18,725.02,28275.78
40,0.99794,0.543,21.72,725.02,29000.8
41,0.997888,0.543,22.26,725.02,29725.82
42,0.997837,0.543,22.81,725.02,30450.84
43,0.997785,0.543,23.35,725.02,31175.86
44,0.997734,0.543,23.89,725.02,31900.88
45,0.997682,0.543,24.43,725.02,32625.9
46,0.997631,0.543,24.98,725.02,33350.92
47,0.997579,0.543,25.52,725.02,34075.94
48,0.997528,0.543,26.06,725.02,34800.96
49,0.997476,0.543,26.61,725.02,35525.98
50,0.997425,0.543,27.15,725.02,36251.0
51,0.997373,0.543,27.69,725.02,36976.02
52,0.997322,0.543,28.24,725.02,37701.04
53,0.99727,0.543,28.78,725.02,38426.06
54,0.997219,0.543,29.32,725.02,39151.08
55,0.997167,0.543,29.86,725.02,39876.1
56,0.997116,0.543,30.41,725.02,40601.12
57,0.997064,0.543,30.95,725.02,41326.14
58,0.997013,0.543,31.49,725.02,42051.16
59,0.996961,0.543,32.04,725.02,42776.18
60,0.99691,0.543,32.58,725.02,43501.2
61,0.996858,0.543,33.12,725.02,44226.22
62,0.996807,0.543,33.67,725.02,44951.24
63,0.996755,0.543,34.21,725.02,45676.26
64,0.996704,0.543,34.75,725.02,46401.28
