rolling_window,forecast_origin,soh_start,soh_end,capacity_start_mwh,capacity_end_mwh,calendar_loss,cycle_loss,window_loss,window_throughput_mwh,window_efc,cumulative_efc,window_gross_revenue_usd,degradation_cost_usd,window_net_revenue_usd,remaining_soh,remaining_capacity_mwh
8,2025-01-14 23:00:00+00:00,1.0,0.999906,100.0,99.9906,4.809052878593836e-05,4.6376725e-05,9.446725378592369e-05,185.5069,0.9275,0.9275,4752.65,1275.31,3477.34,0.9999055327462141,99.9905532746214
9,2025-01-15 23:00:00+00:00,0.999906,0.999852,99.9906,99.9852,4.557077625570776e-05,7.856168067156072e-06,5.342694432286521e-05,80.1053,0.4005,1.3281,579.59,721.26,-141.68,0.9998521058018912,99.98521058018912
10,2025-01-16 23:00:00+00:00,0.999852,0.9998,99.9852,99.98,4.4383561643835604e-05,7.856168067156072e-06,5.223972971102331e-05,80.1053,0.4005,1.7286,3589.23,705.24,2883.99,0.9997998660721802,99.97998660721802
11,2025-01-17 23:00:00+00:00,0.9998,0.999746,99.98,99.9746,4.557077625570776e-05,7.856168067156072e-06,5.342694432286521e-05,80.1053,0.4005,2.1291,355.94,721.26,-365.32,0.9997464391278573,99.97464391278574
12,2025-01-18 23:00:00+00:00,0.999746,0.999694,99.9746,99.9694,4.495433789954338e-05,7.856168067156072e-06,5.2810505966727206e-05,80.1053,0.4005,2.5296,580.8,712.94,-132.15,0.9996936286218906,99.96936286218906
13,2025-01-19 23:00:00+00:00,0.999694,0.99964,99.9694,99.964,4.557077625570776e-05,7.856168067156072e-06,5.342694432286521e-05,80.1053,0.4005,2.9302,670.59,721.26,-50.68,0.9996402016775677,99.96402016775677
14,2025-01-20 23:00:00+00:00,0.99964,0.999586,99.964,99.9586,4.623287671232877e-05,7.856168067156072e-06,5.408904477943732e-05,80.1053,0.4005,3.3307,582.5,730.2,-147.7,0.9995861126327883,99.95861126327883
15,2025-01-21 23:00:00+00:00,0.999586,0.999536,99.9586,99.9536,4.2214611872146116e-05,7.856168067156072e-06,5.00707799393485e-05,80.1053,0.4005,3.7312,3873.76,675.96,3197.81,0.9995360418528489,99.95360418528489
16,2025-01-22 23:00:00+00:00,0.999536,0.999495,99.9536,99.9495,4.1095890410958905e-05,0.0,4.109589041101369e-05,0.0,0.0,3.7312,0.0,554.79,-554.79,0.9994949459624379,99.9494945962438
17,2025-01-23 23:00:00+00:00,0.999495,0.999443,99.9495,99.9443,4.385844748858446e-05,7.856168067156072e-06,5.171461555575352e-05,80.1053,0.4005,4.1317,784.19,698.15,86.04,0.9994432313468822,99.94432313468822
