step,actual_price,forecast_price,residual_error,abs_error,timestamp
0,38.31,39.5718,1.2618,1.2618,2025-01-08 00:00:00
1,34.63,32.53,-2.1,2.1,2025-01-08 01:00:00
2,31.7,34.0761,2.3761,2.3761,2025-01-08 02:00:00
3,29.29,32.1414,2.8514,2.8514,2025-01-08 03:00:00
4,28.73,24.3524,-4.3776,4.3776,2025-01-08 04:00:00
5,27.7,24.9446,-2.7554,2.7554,2025-01-08 05:00:00
6,25.95,26.7696,0.8196,0.8196,2025-01-08 06:00:00
7,26.33,26.0394,-0.2906,0.2906,2025-01-08 07:00:00
8,23.95,24.408,0.458,0.458,2025-01-08 08:00:00
9,27.9,26.2674,-1.6326,1.6326,2025-01-08 09:00:00
10,24.6,27.2985,2.6985,2.6985,2025-01-08 10:00:00
11,33.65,36.0945,2.4445,2.4445,2025-01-08 11:00:00
12,30.49,31.1551,0.6651,0.6651,2025-01-08 12:00:00
13,29.19,32.5081,3.3181,3.3181,2025-01-08 13:00:00
14,31.24,32.9088,1.6688,1.6688,2025-01-08 14:00:00
15,108.32,106.6718,-1.6482,1.6482,2025-01-08 15:00:00
16,38.36,39.7819,1.4219,1.4219,2025-01-08 16:00:00
17,42.78,40.8828,-1.8972,1.8972,2025-01-08 17:00:00
18,43.76,46.4561,2.6961,2.6961,2025-01-08 18:00:00
19,43.4,43.7752,0.3752,0.3752,2025-01-08 19:00:00
20,41.8,41.8378,0.0378,0.0378,2025-01-08 20:00:00
21,39.79,38.5877,-1.2023,1.2023,2025-01-08 21:00:00
22,41.47,45.0264,3.5564,3.5564,2025-01-08 22:00:00
23,43.13,43.2437,0.1137,0.1137,2025-01-08 23:00:00
24,39.36,38.7892,-0.5708,0.5708,2025-01-09 00:00:00
25,33.29,32.9097,-0.3803,0.3803,2025-01-09 01:00:00
26,34.25,36.0808,1.8308,1.8308,2025-01-09 02:00:00
27,32.2,33.6136,1.4136,1.4136,2025-01-09 03:00:00
28,26.61,28.1418,1.5318,1.5318,2025-01-09 04:00:00
29,27.13,28.7071,1.5771,1.5771,2025-01-09 05:00:00
30,25.31,31.1641,5.8541,5.8541,2025-01-09 06:00:00
31,69.53,69.014,-0.516,0.516,2025-01-09 07:00:00
32,24.71,23.9294,-0.7806,0.7806,2025-01-09 08:00:00
33,25.56,24.0256,-1.5344,1.5344,2025-01-09 09:00:00
34,27.87,29.9099,2.0399,2.0399,2025-01-09 10:00:00
35,29.38,32.7024,3.3224,3.3224,2025-01-09 11:00:00
36,25.38,25.5951,0.2151,0.2151,2025-01-09 12:00:00
