metric,value
gross_revenue_usd,317948.4
degradation_cost_usd,239681.57
net_revenue_usd,78266.83
fixed_om_cost_usd,359589.04
variable_om_cost_usd,10773.63
total_operating_cost_usd,370362.68
net_operating_profit_usd,-292095.85
profit_factor,2.226
sharpe_ratio,3.422
sortino_ratio,9.555
max_drawdown_usd,31749.53
max_drawdown_pct,28.86
perfect_foresight_benchmark_usd,1993101.76
revenue_capture_ratio_pct,15.95
terminal_asset_value_usd,14760317.97
round_trip_efficiency_pct,90.25
energy_throughput_mwh,21547.27
equivalent_full_cycles,107.73
average_daily_cycles,0.308
utilization_factor,0.308
initial_soh,1.0
final_soh,0.9822
capacity_fade,0.0178
calendar_loss,0.0152
cycle_loss,0.0026
charging_hours,277.0
discharging_hours,273.0
idle_hours,7850.0
average_soc,0.626
soc_range,0.8
forecast_mae,7.933
forecast_rmse,14.322
forecast_mape_pct,22.19
forecast_bias,3.574
forecast_r2,0.2241
