year_month,gross_revenue_usd,degradation_cost_usd,net_revenue_usd,calendar_fade_pct,cycle_fade_pct,total_fade_pct,end_soh
2025-01,58477.78,13873.88,44603.9,0.075,0.0278,0.1028,0.999
2025-02,91046.85,22235.86,68810.99,0.1218,0.043,0.1647,0.9973
2025-03,95108.49,23635.14,71473.35,0.136,0.0391,0.1751,0.9956
2025-04,92611.9,23634.8,68977.1,0.1315,0.0435,0.1751,0.9938
2025-05,95763.16,23341.11,72422.05,0.1351,0.0378,0.1729,0.9921
2025-06,98627.88,23490.16,75137.72,0.131,0.043,0.174,0.9904
2025-07,95433.31,21072.96,74360.35,0.1324,0.0237,0.1561,0.9888
2025-08,93812.59,21075.33,72737.26,0.1326,0.0236,0.1561,0.9872
2025-09,94568.13,20330.28,74237.85,0.1285,0.0221,0.1506,0.9857
2025-10,101176.15,21277.51,79898.64,0.1322,0.0254,0.1576,0.9842
2025-11,93140.67,20192.42,72948.25,0.1281,0.0214,0.1496,0.9827
2025-12,92324.82,19599.27,72725.55,0.1263,0.0188,0.1452,0.9812
