date,daily_net_pnl_usd,cumulative_pnl_usd,high_water_mark_usd,drawdown_usd,is_drawdown
2025-01-15,3862.49,3862.49,3862.49,0.0,False
2025-01-16,2305.45,6167.94,6167.94,0.0,False
2025-01-17,2660.24,8828.18,8828.18,0.0,False
2025-01-18,2340.54,11168.72,11168.72,0.0,False
2025-01-19,2450.05,13618.77,13618.77,0.0,False
2025-01-20,2922.47,16541.24,16541.24,0.0,False
2025-01-21,3037.15,19578.39,19578.39,0.0,False
2025-01-22,3409.37,22987.76,22987.76,0.0,False
2025-01-23,1564.08,24551.85,24551.85,0.0,False
2025-01-24,2457.61,27009.46,27009.46,0.0,False
2025-01-25,2180.97,29190.43,29190.43,0.0,False
2025-01-26,2236.6,31427.02,31427.02,0.0,False
2025-01-27,1875.42,33302.44,33302.44,0.0,False
2025-01-28,2995.66,36298.1,36298.1,0.0,False
2025-01-29,2705.71,39003.81,39003.81,0.0,False
2025-01-30,3256.98,42260.79,42260.79,0.0,False
2025-01-31,2343.1,44603.9,44603.9,0.0,False
2025-02-01,2191.48,46795.38,46795.38,0.0,False
2025-02-02,2522.06,49317.43,49317.43,0.0,False
2025-02-03,2386.67,51704.11,51704.11,0.0,False
2025-02-04,2948.58,54652.69,54652.69,0.0,False
2025-02-05,2700.05,57352.74,57352.74,0.0,False
2025-02-06,2575.94,59928.68,59928.68,0.0,False
2025-02-07,3401.56,63330.23,63330.23,0.0,False
2025-02-08,3960.21,67290.44,67290.44,0.0,False
2025-02-09,1816.3,69106.74,69106.74,0.0,False
2025-02-10,2107.33,71214.07,71214.07,0.0,False
2025-02-11,2476.05,73690.12,73690.12,0.0,False
2025-02-12,2293.49,75983.61,75983.61,0.0,False
2025-02-13,2445.19,78428.79,78428.79,0.0,False
2025-02-14,1324.36,79753.15,79753.15,0.0,False
2025-02-15,2233.69,81986.84,81986.84,0.0,False
2025-02-16,2565.94,84552.78,84552.78,0.0,False
2025-02-17,3138.96,87691.74,87691.74,0.0,False
2025-02-18,4699.94,92391.67,92391.67,0.0,False
2025-02-19,2248.9,94640.58,94640.58,0.0,False
2025-02-20,2375.37,97015.95,97015.95,0.0,False
2025-02-21,1619.8,98635.75,98635.75,0.0,False
2025-02-22,2140.32,100776.07,100776.07,0.0,False
2025-02-23,2468.57,103244.64,103244.64,0.0,False
2025-02-24,1444.35,104688.99,104688.99,0.0,False
2025-02-25,2255.85,106944.84,106944.84,0.0,False
2025-02-26,2350.91,109295.75,109295.75,0.0,False
2025-02-27,1977.81,111273.56,111273.56,0.0,False
2025-02-28,2141.33,113414.89,113414.89,0.0,False
2025-03-01,2471.63,115886.52,115886.52,0.0,False
2025-03-02,2010.16,117896.67,117896.67,0.0,False
2025-03-03,3676.05,121572.72,121572.72,0.0,False
2025-03-04,4057.87,125630.6,125630.6,0.0,False
2025-03-05,1983.73,127614.33,127614.33,0.0,False
2025-03-06,1920.61,129534.94,129534.94,0.0,False
2025-03-07,2217.63,131752.57,131752.57,0.0,False
2025-03-08,2342.6,134095.17,134095.17,0.0,False
2025-03-09,2325.95,136421.11,136421.11,0.0,False
2025-03-10,1561.41,137982.52,137982.52,0.0,False
2025-03-11,2116.27,140098.79,140098.79,0.0,False
2025-03-12,1957.89,142056.68,142056.68,0.0,False
2025-03-13,2673.06,144729.74,144729.74,0.0,False
2025-03-14,1867.76,146597.5,146597.5,0.0,False
2025-03-15,2502.07,149099.57,149099.57,0.0,False
2025-03-16,1337.17,150436.74,150436.74,0.0,False
2025-03-17,2070.11,152506.85,152506.85,0.0,False
2025-03-18,1395.65,153902.5,153902.5,0.0,False
2025-03-19,2050.84,155953.35,155953.35,0.0,False
2025-03-20,2722.92,158676.27,158676.27,0.0,False
2025-03-21,2185.87,160862.14,160862.14,0.0,False
2025-03-22,2124.33,162986.47,162986.47,0.0,False
2025-03-23,2233.58,165220.05,165220.05,0.0,False
2025-03-24,2194.34,167414.38,167414.38,0.0,False
2025-03-25,2976.52,170390.9,170390.9,0.0,False
2025-03-26,1905.25,172296.15,172296.15,0.0,False
2025-03-27,1757.02,174053.17,174053.17,0.0,False
2025-03-28,2370.18,176423.36,176423.36,0.0,False
2025-03-29,2683.0,179106.36,179106.36,0.0,False
2025-03-30,2081.02,181187.37,181187.37,0.0,False
2025-03-31,3700.86,184888.24,184888.24,0.0,False
2025-04-01,1878.77,186767.01,186767.01,0.0,False
2025-04-02,2154.72,188921.73,188921.73,0.0,False
2025-04-03,2139.58,191061.31,191061.31,0.0,False
2025-04-04,1437.06,192498.37,192498.37,0.0,False
2025-04-05,1761.89,194260.26,194260.26,0.0,False
2025-04-06,1929.58,196189.84,196189.84,0.0,False
2025-04-07,2410.94,198600.78,198600.78,0.0,False
2025-04-08,2890.29,201491.06,201491.06,0.0,False
2025-04-09,3274.52,204765.58,204765.58,0.0,False
2025-04-10,3710.01,208475.59,208475.59,0.0,False
2025-04-11,2315.25,210790.84,210790.84,0.0,False
2025-04-12,2982.66,213773.5,213773.5,0.0,False
2025-04-13,2415.18,216188.68,216188.68,0.0,False
2025-04-14,2129.8,218318.48,218318.48,0.0,False
2025-04-15,1915.58,220234.05,220234.05,0.0,False
2025-04-16,1811.43,222045.48,222045.48,0.0,False
2025-04-17,2595.54,224641.02,224641.02,0.0,False
2025-04-18,2074.14,226715.16,226715.16,0.0,False
2025-04-19,1867.5,228582.67,228582.67,0.0,False
2025-04-20,2073.79,230656.46,230656.46,0.0,False
2025-04-21,2489.57,233146.03,233146.03,0.0,False
2025-04-22,2812.65,235958.68,235958.68,0.0,False
2025-04-23,2588.37,238547.05,238547.05,0.0,False
2025-04-24,2325.06,240872.1,240872.1,0.0,False
2025-04-25,2014.04,242886.14,242886.14,0.0,False
2025-04-26,2021.16,244907.3,244907.3,0.0,False
2025-04-27,2121.89,247029.19,247029.19,0.0,False
2025-04-28,2233.07,249262.25,249262.25,0.0,False
2025-04-29,2426.94,251689.19,251689.19,0.0,False
2025-04-30,2176.14,253865.33,253865.33,0.0,False
2025-05-01,1012.1,254877.43,254877.43,0.0,False
2025-05-02,1981.51,256858.94,256858.94,0.0,False
2025-05-03,1962.48,258821.41,258821.41,0.0,False
2025-05-04,2283.39,261104.81,261104.81,0.0,False
2025-05-05,2022.93,263127.74,263127.74,0.0,False
2025-05-06,2686.16,265813.89,265813.89,0.0,False
2025-05-07,2513.36,268327.26,268327.26,0.0,False
2025-05-08,2313.94,270641.2,270641.2,0.0,False
2025-05-09,1468.86,272110.06,272110.06,0.0,False
2025-05-10,3662.17,275772.24,275772.24,0.0,False
2025-05-11,2719.53,278491.76,278491.76,0.0,False
2025-05-12,1900.93,280392.69,280392.69,0.0,False
2025-05-13,2385.93,282778.62,282778.62,0.0,False
2025-05-14,1522.63,284301.25,284301.25,0.0,False
2025-05-15,2016.21,286317.46,286317.46,0.0,False
2025-05-16,2300.14,288617.6,288617.6,0.0,False
2025-05-17,2458.44,291076.04,291076.04,0.0,False
2025-05-18,2612.85,293688.9,293688.9,0.0,False
2025-05-19,2564.62,296253.52,296253.52,0.0,False
2025-05-20,2752.45,299005.96,299005.96,0.0,False
2025-05-21,2827.76,301833.73,301833.73,0.0,False
2025-05-22,2755.79,304589.52,304589.52,0.0,False
2025-05-23,2594.16,307183.67,307183.67,0.0,False
2025-05-24,2486.41,309670.08,309670.08,0.0,False
2025-05-25,2360.08,312030.16,312030.16,0.0,False
2025-05-26,1886.1,313916.26,313916.26,0.0,False
2025-05-27,3451.05,317367.31,317367.31,0.0,False
2025-05-28,1431.12,318798.43,318798.43,0.0,False
2025-05-29,2667.17,321465.6,321465.6,0.0,False
2025-05-30,2804.34,324269.94,324269.94,0.0,False
2025-05-31,2017.44,326287.38,326287.38,0.0,False
2025-06-01,1217.38,327504.77,327504.77,0.0,False
2025-06-02,2552.05,330056.82,330056.82,0.0,False
2025-06-03,1941.0,331997.82,331997.82,0.0,False
2025-06-04,2692.9,334690.72,334690.72,0.0,False
2025-06-05,2569.28,337260.0,337260.0,0.0,False
2025-06-06,1954.19,339214.19,339214.19,0.0,False
2025-06-07,2249.13,341463.31,341463.31,0.0,False
2025-06-08,2046.7,343510.01,343510.01,0.0,False
2025-06-09,2256.32,345766.33,345766.33,0.0,False
2025-06-10,3676.33,349442.66,349442.66,0.0,False
2025-06-11,2516.78,351959.45,351959.45,0.0,False
2025-06-12,2290.79,354250.24,354250.24,0.0,False
2025-06-13,2417.63,356667.86,356667.86,0.0,False
2025-06-14,2295.98,358963.85,358963.85,0.0,False
2025-06-15,4918.42,363882.27,363882.27,0.0,False
2025-06-16,2199.5,366081.78,366081.78,0.0,False
2025-06-17,2893.68,368975.46,368975.46,0.0,False
2025-06-18,1625.5,370600.96,370600.96,0.0,False
2025-06-19,2468.8,373069.76,373069.76,0.0,False
2025-06-20,2366.41,375436.17,375436.17,0.0,False
2025-06-21,3014.3,378450.47,378450.47,0.0,False
2025-06-22,2168.12,380618.59,380618.59,0.0,False
2025-06-23,3351.04,383969.63,383969.63,0.0,False
2025-06-24,2537.51,386507.14,386507.14,0.0,False
2025-06-25,2809.05,389316.19,389316.19,0.0,False
2025-06-26,2837.62,392153.8,392153.8,0.0,False
2025-06-27,2556.68,394710.49,394710.49,0.0,False
2025-06-28,2376.28,397086.77,397086.77,0.0,False
2025-06-29,2325.71,399412.48,399412.48,0.0,False
2025-06-30,2012.62,401425.1,401425.1,0.0,False
2025-07-01,2398.73,403823.82,403823.82,0.0,False
2025-07-02,3362.81,407186.63,407186.63,0.0,False
2025-07-03,2430.65,409617.28,409617.28,0.0,False
2025-07-04,1997.11,411614.39,411614.39,0.0,False
2025-07-05,1679.14,413293.54,413293.54,0.0,False
2025-07-06,1818.0,415111.54,415111.54,0.0,False
2025-07-07,2126.24,417237.79,417237.79,0.0,False
2025-07-08,3229.27,420467.06,420467.06,0.0,False
2025-07-09,3256.5,423723.56,423723.56,0.0,False
2025-07-10,2049.05,425772.61,425772.61,0.0,False
2025-07-11,1964.46,427737.08,427737.08,0.0,False
2025-07-12,2222.46,429959.54,429959.54,0.0,False
2025-07-13,2222.85,432182.39,432182.39,0.0,False
2025-07-14,3133.59,435315.98,435315.98,0.0,False
2025-07-15,1776.35,437092.33,437092.33,0.0,False
2025-07-16,1904.25,438996.58,438996.58,0.0,False
2025-07-17,2254.36,441250.94,441250.94,0.0,False
2025-07-18,2578.57,443829.51,443829.51,0.0,False
2025-07-19,1816.02,445645.52,445645.52,0.0,False
2025-07-20,2495.47,448141.0,448141.0,0.0,False
2025-07-21,2832.14,450973.14,450973.14,0.0,False
2025-07-22,2042.54,453015.68,453015.68,0.0,False
2025-07-23,1890.31,454905.99,454905.99,0.0,False
2025-07-24,1823.54,456729.53,456729.53,0.0,False
2025-07-25,2626.31,459355.84,459355.84,0.0,False
2025-07-26,2488.99,461844.83,461844.83,0.0,False
2025-07-27,2391.99,464236.82,464236.82,0.0,False
2025-07-28,3287.92,467524.74,467524.74,0.0,False
2025-07-29,2568.81,470093.55,470093.55,0.0,False
2025-07-30,3116.46,473210.01,473210.01,0.0,False
2025-07-31,2575.44,475785.45,475785.45,0.0,False
2025-08-01,2015.41,477800.86,477800.86,0.0,False
2025-08-02,2340.89,480141.75,480141.75,0.0,False
2025-08-03,3011.34,483153.09,483153.09,0.0,False
2025-08-04,1683.56,484836.65,484836.65,0.0,False
2025-08-05,1651.41,486488.05,486488.05,0.0,False
2025-08-06,1746.05,488234.11,488234.11,0.0,False
2025-08-07,2618.04,490852.15,490852.15,0.0,False
2025-08-08,2733.13,493585.28,493585.28,0.0,False
2025-08-09,2051.7,495636.98,495636.98,0.0,False
2025-08-10,2451.57,498088.55,498088.55,0.0,False
2025-08-11,3380.39,501468.93,501468.93,0.0,False
2025-08-12,1841.27,503310.2,503310.2,0.0,False
2025-08-13,2021.24,505331.44,505331.44,0.0,False
2025-08-14,2882.1,508213.54,508213.54,0.0,False
2025-08-15,1837.1,510050.64,510050.64,0.0,False
2025-08-16,2391.67,512442.31,512442.31,0.0,False
2025-08-17,2154.79,514597.1,514597.1,0.0,False
2025-08-18,2783.96,517381.06,517381.06,0.0,False
2025-08-19,2721.79,520102.85,520102.85,0.0,False
2025-08-20,2740.95,522843.8,522843.8,0.0,False
2025-08-21,2773.24,525617.05,525617.05,0.0,False
2025-08-22,1748.03,527365.08,527365.08,0.0,False
2025-08-23,2387.11,529752.19,529752.19,0.0,False
2025-08-24,1745.07,531497.27,531497.27,0.0,False
2025-08-25,1825.98,533323.24,533323.24,0.0,False
2025-08-26,2398.55,535721.8,535721.8,0.0,False
2025-08-27,1807.9,537529.7,537529.7,0.0,False
2025-08-28,2980.71,540510.41,540510.41,0.0,False
2025-08-29,2394.55,542904.96,542904.96,0.0,False
2025-08-30,2159.46,545064.42,545064.42,0.0,False
