stage_id,stage_name,duration_seconds,runtime_percentage,status,timestamp
1,Data Ingestion,0.462,0.08,COMPLETED,2026-09-25T20:20:16.977390+00:00
2,Data Validation,0.039,0.01,COMPLETED,2026-09-25T20:20:16.977419+00:00
3,Feature Engineering,0.219,0.04,COMPLETED,2026-09-25T20:20:16.977635+00:00
4,Price Forecasting,3.074,0.53,COMPLETED,2026-09-25T20:20:16.977654+00:00
5,Mixed-Integer Dispatch Optimization,1.356,0.24,COMPLETED,2026-09-25T20:20:16.977671+00:00
6,Battery Ageing,0.025,0.0,COMPLETED,2026-09-25T20:20:16.977682+00:00
7,Backtest Consolidation,0.769,0.13,COMPLETED,2026-09-25T20:20:16.977693+00:00
8,Arbitrage Economics,0.004,0.0,COMPLETED,2026-09-25T20:20:16.977704+00:00
9,Forecast Realism,5.787,1.0,COMPLETED,2026-09-25T20:20:16.977715+00:00
10,Risk Analytics,0.003,0.0,COMPLETED,2026-09-25T20:20:16.977725+00:00
11,Sensitivity & Scenarios,0.054,0.01,COMPLETED,2026-09-25T20:20:16.977735+00:00
12,Publication Reports & Figure Suite,565.36,97.95,COMPLETED,2026-09-25T20:20:16.977746+00:00
