month,mean,max,min,std
April,29.283486111111113,148.47,-18.4,14.84576230258084
August,39.360282258064515,149.64,-4.61,14.26794091221514
December,36.9269623655914,160.51,-16.64,16.797392900596023
February,30.859925595238092,143.47,-9.86,13.76237002690655
January,33.63241935483871,149.89,-5.89,14.098715959839515
July,37.596061827956994,144.7,1.82,15.22584344777123
June,35.06155555555556,155.76,4.96,17.88732796949911
March,30.781559139784946,154.33,-1.92,17.50996555287062
May,31.566115591397846,131.61,-10.74,14.764829918501837
November,39.474555555555554,153.68,-1.07,15.29884331432599
October,41.37521505376344,161.13,0.32,16.18962934115621
September,41.325694444444444,142.23,-11.74,15.765824337516122
