fold,train_rows,test_rows,train_start,train_end,test_start,test_end
1,7732,24,2025-01-08 00:00:00+00:00,2025-11-26 03:00:00+00:00,2025-11-26 04:00:00+00:00,2025-11-27 03:00:00+00:00
2,7756,24,2025-01-08 00:00:00+00:00,2025-11-27 03:00:00+00:00,2025-11-27 04:00:00+00:00,2025-11-28 03:00:00+00:00
3,7780,24,2025-01-08 00:00:00+00:00,2025-11-28 03:00:00+00:00,2025-11-28 04:00:00+00:00,2025-11-29 03:00:00+00:00
4,7804,24,2025-01-08 00:00:00+00:00,2025-11-29 03:00:00+00:00,2025-11-29 04:00:00+00:00,2025-11-30 03:00:00+00:00
5,7828,24,2025-01-08 00:00:00+00:00,2025-11-30 03:00:00+00:00,2025-11-30 04:00:00+00:00,2025-12-01 03:00:00+00:00
6,7852,24,2025-01-08 00:00:00+00:00,2025-12-01 03:00:00+00:00,2025-12-01 04:00:00+00:00,2025-12-02 03:00:00+00:00
7,7876,24,2025-01-08 00:00:00+00:00,2025-12-02 03:00:00+00:00,2025-12-02 04:00:00+00:00,2025-12-03 03:00:00+00:00
8,7900,24,2025-01-08 00:00:00+00:00,2025-12-03 03:00:00+00:00,2025-12-03 04:00:00+00:00,2025-12-04 03:00:00+00:00
9,7924,24,2025-01-08 00:00:00+00:00,2025-12-04 03:00:00+00:00,2025-12-04 04:00:00+00:00,2025-12-05 03:00:00+00:00
10,7948,24,2025-01-08 00:00:00+00:00,2025-12-05 03:00:00+00:00,2025-12-05 04:00:00+00:00,2025-12-06 03:00:00+00:00
11,7972,24,2025-01-08 00:00:00+00:00,2025-12-06 03:00:00+00:00,2025-12-06 04:00:00+00:00,2025-12-07 03:00:00+00:00
12,7996,24,2025-01-08 00:00:00+00:00,2025-12-07 03:00:00+00:00,2025-12-07 04:00:00+00:00,2025-12-08 03:00:00+00:00
13,8020,24,2025-01-08 00:00:00+00:00,2025-12-08 03:00:00+00:00,2025-12-08 04:00:00+00:00,2025-12-09 03:00:00+00:00
14,8044,24,2025-01-08 00:00:00+00:00,2025-12-09 03:00:00+00:00,2025-12-09 04:00:00+00:00,2025-12-10 03:00:00+00:00
15,8068,24,2025-01-08 00:00:00+00:00,2025-12-10 03:00:00+00:00,2025-12-10 04:00:00+00:00,2025-12-11 03:00:00+00:00
16,8092,24,2025-01-08 00:00:00+00:00,2025-12-11 03:00:00+00:00,2025-12-11 04:00:00+00:00,2025-12-12 03:00:00+00:00
17,8116,24,2025-01-08 00:00:00+00:00,2025-12-12 03:00:00+00:00,2025-12-12 04:00:00+00:00,2025-12-13 03:00:00+00:00
18,8140,24,2025-01-08 00:00:00+00:00,2025-12-13 03:00:00+00:00,2025-12-13 04:00:00+00:00,2025-12-14 03:00:00+00:00
19,8164,24,2025-01-08 00:00:00+00:00,2025-12-14 03:00:00+00:00,2025-12-14 04:00:00+00:00,2025-12-15 03:00:00+00:00
20,8188,24,2025-01-08 00:00:00+00:00,2025-12-15 03:00:00+00:00,2025-12-15 04:00:00+00:00,2025-12-16 03:00:00+00:00
21,8212,24,2025-01-08 00:00:00+00:00,2025-12-16 03:00:00+00:00,2025-12-16 04:00:00+00:00,2025-12-17 03:00:00+00:00
22,8236,24,2025-01-08 00:00:00+00:00,2025-12-17 03:00:00+00:00,2025-12-17 04:00:00+00:00,2025-12-18 03:00:00+00:00
23,8260,24,2025-01-08 00:00:00+00:00,2025-12-18 03:00:00+00:00,2025-12-18 04:00:00+00:00,2025-12-19 03:00:00+00:00
24,8284,24,2025-01-08 00:00:00+00:00,2025-12-19 03:00:00+00:00,2025-12-19 04:00:00+00:00,2025-12-20 03:00:00+00:00
25,8308,24,2025-01-08 00:00:00+00:00,2025-12-20 03:00:00+00:00,2025-12-20 04:00:00+00:00,2025-12-21 03:00:00+00:00
26,8332,24,2025-01-08 00:00:00+00:00,2025-12-21 03:00:00+00:00,2025-12-21 04:00:00+00:00,2025-12-22 03:00:00+00:00
27,8356,24,2025-01-08 00:00:00+00:00,2025-12-22 03:00:00+00:00,2025-12-22 04:00:00+00:00,2025-12-23 03:00:00+00:00
28,8380,24,2025-01-08 00:00:00+00:00,2025-12-23 03:00:00+00:00,2025-12-23 04:00:00+00:00,2025-12-24 03:00:00+00:00
29,8404,24,2025-01-08 00:00:00+00:00,2025-12-24 03:00:00+00:00,2025-12-24 04:00:00+00:00,2025-12-25 03:00:00+00:00
30,8428,24,2025-01-08 00:00:00+00:00,2025-12-25 03:00:00+00:00,2025-12-25 04:00:00+00:00,2025-12-26 03:00:00+00:00
31,8452,24,2025-01-08 00:00:00+00:00,2025-12-26 03:00:00+00:00,2025-12-26 04:00:00+00:00,2025-12-27 03:00:00+00:00
32,8476,24,2025-01-08 00:00:00+00:00,2025-12-27 03:00:00+00:00,2025-12-27 04:00:00+00:00,2025-12-28 03:00:00+00:00
33,8500,24,2025-01-08 00:00:00+00:00,2025-12-28 03:00:00+00:00,2025-12-28 04:00:00+00:00,2025-12-29 03:00:00+00:00
34,8524,24,2025-01-08 00:00:00+00:00,2025-12-29 03:00:00+00:00,2025-12-29 04:00:00+00:00,2025-12-30 03:00:00+00:00
35,8548,24,2025-01-08 00:00:00+00:00,2025-12-30 03:00:00+00:00,2025-12-30 04:00:00+00:00,2025-12-31 03:00:00+00:00
