scenario_id,category,parameter_tested,parameter_value,gross_revenue_usd,degradation_cost_usd,net_revenue_usd,fixed_om_cost_usd,variable_om_cost_usd,net_ebitda_usd,final_soh,capacity_fade_pct,equivalent_full_cycles,sharpe_ratio,value_capture_ratio_pct,forecast_opportunity_loss_usd
SCN_HORIZON_12H,Forecast_Horizon,Horizon,12h,3996021.14,199300.61,3796720.53,359589.04,16518.236824395375,3420613.25,0.983,1.7,165.2,32.242,70.04,1709021.51
SCN_HORIZON_24H,Forecast_Horizon,Horizon,24h,4673650.66,230568.18,4443082.48,359589.04,18048.073527865407,4065445.37,0.982,1.8,180.5,35.545,81.92,1031391.99
SCN_HORIZON_36H,Forecast_Horizon,Horizon,36h,4858005.75,243134.83,4614870.92,359589.04,18618.012691903263,4236663.87,0.9816,1.84,186.2,36.253,85.15,847036.9
SCN_HORIZON_48H,Forecast_Horizon,Horizon,48h (Base),4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_HORIZON_72H,Forecast_Horizon,Horizon,72h,5296471.91,273722.54,5022749.37,359589.04,19777.88888538381,4643382.44,0.9805,1.95,197.8,37.726,92.84,408570.74
SCN_MODEL_PERSISTENCE,Forecast_Model,Algorithm,Persistence,3662188.95,185008.08,3477180.87,359589.04,15798.313669821242,3101793.52,0.9835,1.65,158.0,30.101,64.19,2042853.7
SCN_MODEL_MOVING_AVG,Forecast_Model,Algorithm,Moving Average,4085707.4,205063.04,3880644.36,359589.04,16798.206940063093,3504257.11,0.9828,1.72,168.0,32.739,71.62,1619335.25
SCN_MODEL_XGBOOST,Forecast_Model,Algorithm,Recursive XGBoost (Base),4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_MODEL_PERFECT_FORESIGHT,Forecast_Model,Algorithm,Perfect Foresight,5705042.65,320411.0,5384631.65,359589.04,21497.70531019979,5003544.9,0.979,2.1,215.0,38.831,100.0,0.0
SCN_CHEM_NMC,Battery_Chemistry,Chemistry,NMC 811 (Base),4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_CHEM_LFP,Battery_Chemistry,Chemistry,LFP Stationary,5475844.43,143412.13,5332432.3,359589.04,18538.021230283914,4954305.24,0.9891,1.09,185.4,38.689,95.98,229198.22
SCN_CHEM_LTO,Battery_Chemistry,Chemistry,LTO Heavy Duty,5839572.04,62626.69,5776945.35,359589.04,18008.077797055732,5399348.23,0.9951,0.49,180.1,39.874,102.36,0.0
SCN_TEMP_15C,Operating_Temperature,Temperature,15°C Subcooled,5206785.65,206794.61,4999991.04,359589.04,18797.993480546796,4621604.01,0.9845,1.55,188.0,37.654,91.27,498257.0
SCN_TEMP_25C,Operating_Temperature,Temperature,25°C Reference,4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_TEMP_35C,Operating_Temperature,Temperature,35°C Elevated,4593929.54,323595.95,4270333.59,359589.04,19237.94651945321,3891506.6,0.9763,2.37,192.4,34.762,80.52,1111113.11
SCN_TEMP_45C,Operating_Temperature,Temperature,45°C Stress,4010968.85,428988.82,3581980.03,359589.04,19497.918769716092,3202893.07,0.969,3.1,195.0,30.826,70.31,1694073.8
SCN_SIZE_25MW_50MWH,System_Sizing,Sizing,25MW / 50MWh (2h),2491285.0,253757.0,2237528.0,179794.52,9508.985,2048224.49,0.9812,1.88,190.2,35.678,43.67,3213757.65
SCN_SIZE_50MW_100MWH,System_Sizing,Sizing,50MW / 100MWh (Base),4982570.0,253757.0,4728813.0,719178.08,38035.94,3971598.98,0.9812,1.88,190.2,17.193,87.34,722472.65
SCN_SIZE_50MW_200MWH,System_Sizing,Sizing,50MW / 200MWh (4h),7374203.6,159531.33,7214672.27,359589.04,14048.500446898004,6841034.73,0.984,1.6,140.5,42.655,129.26,0.0
SCN_SIZE_100MW_200MWH,System_Sizing,Sizing,100MW / 200MWh (2h),9965140.0,253757.0,9711383.0,719178.08,38035.94,8954168.98,0.9812,1.88,190.2,37.156,174.67,0.0
SCN_RTE_85,Round_Trip_Efficiency,RTE,85.0%,4270062.49,235067.42,4034995.07,359589.04,18198.057518401685,3657207.97,0.9818,1.82,182.0,33.589,74.85,1434980.16
SCN_RTE_90,Round_Trip_Efficiency,RTE,90.25% (Base),4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_RTE_92,Round_Trip_Efficiency,RTE,92.5%,5196820.51,260231.93,4936588.58,359589.04,19297.940115667723,4557701.6,0.981,1.9,193.0,37.438,91.09,508222.14
SCN_RTE_95,Round_Trip_Efficiency,RTE,95.0%,5500757.28,270529.08,5230228.2,359589.04,19647.902760252367,4850991.26,0.9806,1.94,196.5,38.383,96.42,204285.37
SCN_WEAR_ZERO,Degradation_Penalty,Hurdle,$0/MWh (Zero Wear),5391140.74,425972.77,4965167.97,359589.04,24497.385120925344,4581081.54,0.9755,2.45,245.0,37.518,94.5,313901.91
SCN_WEAR_LOW,Degradation_Penalty,Hurdle,$5/MWh (Low Wear),5156959.95,323462.54,4833497.41,359589.04,21497.70531019979,4452410.66,0.9788,2.12,215.0,37.068,90.39,548082.7
SCN_WEAR_BASE,Degradation_Penalty,Hurdle,$10/MWh (Base),4982570.0,253757.0,4728813.0,359589.04,19017.97,4350205.99,0.9812,1.88,190.2,36.692,87.34,722472.65
SCN_WEAR_HIGH,Degradation_Penalty,Hurdle,$25/MWh (High Hurdle),4559051.55,143095.63,4415955.92,359589.04,14198.484437434281,4042168.4,0.9858,1.42,142.0,35.444,79.91,1145991.1
